day,policy,saturation,memory,backlog_start,arrivals,closed,backlog,missed,gross,liability,recovered,legitimate_margin,authentication_cost,operating_cost,value,service_work,capacity,scenario
30,fixed_0.5,0.50000000,0.47323822,2506,128,239,2395,73,49843.67335613,40373.37541846,22299.97033852,5028.21428571,385.71428571,164.57142857,-13595.47650851,182.75000000,182.85714286,Base
31,fixed_0.5,0.50000000,0.47524536,2395,139,205,2329,40,55372.65490959,44851.85047677,24130.73947479,5028.21428571,385.71428571,164.57142857,-16243.18243055,182.25000000,182.85714286,Base
32,fixed_0.5,0.50000000,0.47710195,2329,120,228,2221,62,45435.56861072,36802.81057468,22803.21636402,5028.21428571,385.71428571,164.57142857,-9521.66563923,182.00000000,182.85714286,Base
33,fixed_0.5,0.50000000,0.47881931,2221,130,205,2146,40,48858.22349022,39575.16102708,21593.12783643,5028.21428571,385.71428571,164.57142857,-13504.10461922,182.50000000,182.85714286,Base
34,fixed_0.5,0.50000000,0.48040786,2146,142,218,2070,54,46709.41275274,37834.62432972,21839.31873723,5028.21428571,385.71428571,164.57142857,-11517.37702106,182.00000000,182.85714286,Base
35,fixed_0.5,0.50000000,0.48187727,2070,135,237,1968,70,52111.10256019,42209.99307375,22742.58011648,5028.21428571,385.71428571,164.57142857,-14989.48438585,182.25000000,182.85714286,Base
36,fixed_0.5,0.50000000,0.48323647,1968,136,197,1907,30,55340.40256820,44825.72608024,26223.47988903,5028.21428571,385.71428571,164.57142857,-14124.31761978,182.00000000,182.85714286,Base
37,fixed_0.5,0.50000000,0.48449374,1907,151,227,1831,60,60145.04693448,48717.48801693,23234.12718463,5028.21428571,385.71428571,164.57142857,-21005.43226087,182.25000000,182.85714286,Base
38,fixed_0.5,0.50000000,0.48565671,1831,121,227,1725,61,44319.45914289,35898.76190574,21076.03495288,5028.21428571,385.71428571,164.57142857,-10344.79838143,182.25000000,182.85714286,Base
39,fixed_0.5,0.50000000,0.48673246,1725,138,224,1639,58,56376.05996120,45664.60856857,22083.34729280,5028.21428571,385.71428571,164.57142857,-19103.33270435,182.00000000,182.85714286,Base
40,fixed_0.5,0.50000000,0.48772752,1639,131,227,1543,59,48448.90730068,39243.61491355,21722.28466198,5028.21428571,385.71428571,164.57142857,-13043.40168014,182.25000000,182.85714286,Base
41,fixed_0.5,0.50000000,0.48864796,1543,136,169,1510,5,53641.41670693,43449.54753261,21077.82002377,5028.21428571,385.71428571,164.57142857,-17893.79893741,182.75000000,182.85714286,Base
42,fixed_0.5,0.50000000,0.48949936,1510,137,167,1480,2,50822.78852540,41166.45870557,23793.04434978,5028.21428571,385.71428571,164.57142857,-12895.48578436,182.75000000,182.85714286,Base
43,fixed_0.5,0.50000000,0.49028691,1480,154,168,1466,3,62224.15900589,50401.56879477,23486.33137615,5028.21428571,385.71428571,164.57142857,-22437.30884719,182.50000000,182.85714286,Base
44,fixed_0.5,0.50000000,0.49101539,1466,123,163,1426,0,47242.15824720,38266.14818024,21056.26142163,5028.21428571,385.71428571,164.57142857,-12731.95818717,182.50000000,182.85714286,Base
45,fixed_0.5,0.50000000,0.49168924,1426,126,169,1383,2,46523.52771922,37684.05745257,27400.27048438,5028.21428571,385.71428571,164.57142857,-5805.85839676,182.75000000,182.85714286,Base
