block,week,week_in_block,channel,saturation,assignment_probability,prior_memory,memory,displaced_out,displaced_in,attack_attempts,indexed_loss
9,37,2,3,0.80000000,0.33333333,0.51681565,0.66123967,330.61983410,233.87579930,903.25596519,331.26914607
9,37,2,4,0.80000000,0.33333333,0.49995301,0.65297698,326.48848793,234.70206853,908.21358061,462.17354328
9,37,2,5,0.50000000,0.33333333,0.77366818,0.63409741,317.04870477,236.59002516,919.54132039,622.55881287
9,38,3,0,0.20000000,0.33333333,0.66919286,0.36093315,180.46657494,263.90652129,1083.43994636,857.71569581
9,38,3,1,0.50000000,0.33333333,0.20338601,0.39826140,199.13070088,260.17369611,1061.04299522,617.16330397
9,38,3,2,0.20000000,0.33333333,0.33697952,0.24698397,123.49198683,275.30143892,1151.80945209,1064.86946072
9,38,3,3,0.80000000,0.33333333,0.51681565,0.70286777,351.43388387,229.71305951,878.27917564,445.86055054
9,38,3,4,0.80000000,0.33333333,0.49995301,0.69708388,348.54194155,230.29144797,881.74950642,434.96412358
9,38,3,5,0.50000000,0.33333333,0.77366818,0.59386819,296.93409334,240.61301761,943.67892427,693.51950988
9,39,4,0,0.20000000,0.33333333,0.66919286,0.31265320,156.32660246,268.73456491,1112.40796245,1035.07090246
9,39,4,1,0.50000000,0.33333333,0.20338601,0.42878298,214.39149062,257.12158727,1042.73009666,623.46073133
9,39,4,2,0.20000000,0.33333333,0.33697952,0.23288878,116.44439078,276.71100724,1160.26661646,1029.98606074
9,39,4,3,0.80000000,0.33333333,0.51681565,0.73200744,366.00371871,226.79914166,860.79542294,511.49219730
9,39,4,4,0.80000000,0.33333333,0.49995301,0.72795872,363.97935908,227.20401358,863.22465450,433.14990039
9,39,4,5,0.50000000,0.33333333,0.77366818,0.56570773,282.85386534,243.42911233,960.57524699,608.11307423
10,40,1,0,0.80000000,0.33333333,0.31265320,0.45885724,229.42862172,254.11419543,1024.68557372,499.25807991
